#name, A, B, C, D, E, F
GCA_041388785.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
GCA_003262415.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1476, 1.3427625543584838e-07, 4.444402296148079e-09, 2.7362611099540596e-09, 2.8003585509112694e-07, 4.326439211776841e-08, 0.9999995352428338
GCA_018861955.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1451, 1.3493920015985934e-07, 4.452523980220958e-09, 2.74023850290579e-09, 2.817721539027001e-07, 4.341892340587949e-08, 0.9999995326769601
NODE_1431, 1.3427290319774158e-07, 4.44438539362456e-09, 2.7362541550082655e-09, 2.8002497026472704e-07, 4.3263276829750666e-08, 0.9999995352582102
GCA_002851995.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1397, 1.3426959750694916e-07, 4.44436878022242e-09, 2.7362473972810382e-09, 2.800140770209077e-07, 4.326271283370445e-08, 0.9999995352729966
GCA_003262535.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1396, 1.3426632423423714e-07, 4.444352249393029e-09, 2.736240671049957e-09, 2.8000331753099895e-07, 4.3262152925301256e-08, 0.9999995352876123
GCA_003262425.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1395, 1.3360662304846974e-07, 4.4362451435022725e-09, 2.732268869408616e-09, 2.782778600268158e-07, 4.3107630187888517e-08, 0.9999995378393727
GCA_003263205.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
GCA_003036885.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1449, 1.349424567722112e-07, 4.45254045143146e-09, 2.740245203970013e-09, 2.8178284564618214e-07, 4.3419479251021176e-08, 0.9999995326624327
NODE_1445, 1.342729031956387e-07, 4.444385393593049e-09, 2.7362541549944694e-09, 2.800249702604645e-07, 4.326327682264675e-08, 0.9999995352582103
GCA_002851975.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1441, 1.3426634056204875e-07, 4.444352292375612e-09, 2.736240687543817e-09, 2.8000338500910144e-07, 4.3262154984201314e-08, 0.9999995352875265
GCA_002852755.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1440, 1.3360662312879583e-07, 4.436245143658136e-09, 2.7322688694725378e-09, 2.782778604421555e-07, 4.3107630195502535e-08, 0.9999995378393722
GCA_002852545.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
GCA_002811375.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1446, 1.3493591047723343e-07, 4.452507418258573e-09, 2.740231766263481e-09, 2.817613277526912e-07, 4.341835953839881e-08, 0.999999532691663
NODE_1430, 1.336099126562953e-07, 4.436261726995695e-09, 2.732275617497313e-09, 2.782886869715669e-07, 4.310819217811677e-08, 0.9999995378246708
GCA_003038235.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
GCA_003037365.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1442, 1.3427619279823944e-07, 4.444401964418315e-09, 2.7362608963851067e-09, 2.800357972726593e-07, 4.326383877560595e-08, 0.9999995352435084
GCA_002852435.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1436, 1.3493918358383121e-07, 4.452523936246531e-09, 2.7402384857414845e-09, 2.8177208647593194e-07, 4.341891939469701e-08, 0.999999532677048
NODE_1435, 1.3493587782183818e-07, 4.4525073324708686e-09, 2.7402317333652377e-09, 2.81761192795117e-07, 4.341835542122948e-08, 0.999999532691835
NODE_1426, 1.336099124956443e-07, 4.436261726684275e-09, 2.7322756173695937e-09, 2.7828868614087935e-07, 4.310819216289098e-08, 0.9999995378246718
GCA_014655965.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
GCA_003038095.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1361, 1.3427288702783023e-07, 4.444385350964138e-09, 2.7362541386457794e-09, 2.8002490360597996e-07, 4.3263274779221603e-08, 0.9999995352582951
GCA_003262335.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1360, 1.3426964610709928e-07, 4.444368908978478e-09, 2.736247446632127e-09, 2.8001427718590365e-07, 4.326271899207616e-08, 0.9999995352727414
GCA_003037585.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1358, 1.3427617996986868e-07, 4.4444022684386044e-09, 2.736261021823141e-09, 2.8003569742992864e-07, 4.326384229031675e-08, 0.9999995352436171
GCA_003263125.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1356, 1.3560286530564084e-07, 4.460848373765531e-09, 2.7443202614471738e-09, 2.835030726030268e-07, 4.3575578171117864e-08, 0.9999995301133153
NODE_1354, 1.3361318933834855e-07, 4.436278613527213e-09, 2.7322824906575806e-09, 2.782994138616879e-07, 4.31087576548293e-08, 0.9999995378100781
GCA_003263145.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
GCA_003262585.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1355, 2.693585400810869e-07, 9.014237224242885e-09, 5.552540788055191e-09, 5.609744117391981e-07, 8.712909818531596e-08, 0.9999990679711719
GCA_003262965.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1325, 2.7462097539304127e-05, 2.603483638708496e-06, 2.03005449566309e-06, 4.5531825559684946e-05, 1.2333733982777342e-05, 0.9999100388047839
Reference, 0.005483394376869959, 0.0014935012822364984, 0.001475462212936103, 0.00721879253395371, 0.0034373228749692655, 0.9808915267190346
NODE_1280, 2.6935202240879937e-07, 9.014203845575562e-09, 5.552527198469185e-09, 5.609530574094125e-07, 8.71279768320788e-08, 0.9999990680002124
GCA_041730255.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1263, 1.3493987047800438e-07, 4.452727693062876e-09, 2.740343450540908e-09, 2.817668080422618e-07, 4.342049582822919e-08, 0.9999995326797545
GCA_034361565.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1219, 1.3493259188614645e-07, 4.452491121325002e-09, 2.7402251405751432e-09, 2.81750334197476e-07, 4.341779909339671e-08, 0.9999995327065585
NODE_1196, 1.336098963446992e-07, 4.436261684534706e-09, 2.7322756011577603e-09, 2.782886192895798e-07, 4.3108190138586216e-08, 0.9999995378247568
GCA_033116875.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
GCA_033116835.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1218, 1.336098963446992e-07, 4.436261684534706e-09, 2.7322756011577603e-09, 2.782886192895798e-07, 4.3108190138586216e-08, 0.9999995378247568
GCA_034393475.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
GCA_014654905.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1428, 1.3427620896536302e-07, 4.444402007072421e-09, 2.7362609127437386e-09, 2.8003586392023643e-07, 4.326384081919712e-08, 0.9999995352434233
GCA_003262905.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1425, 1.349391835838333e-07, 4.4525239362466175e-09, 2.740238485741526e-09, 2.8177208647594687e-07, 4.341891939469753e-08, 0.9999995326770481
NODE_1423, 1.3493586157366536e-07, 4.452507289714972e-09, 2.7402317169727584e-09, 2.8176112572698345e-07, 4.34183533700951e-08, 0.9999995326919202
NODE_1388, 1.3360991241571055e-07, 4.43626172652927e-09, 2.7322756173060484e-09, 2.782886857280627e-07, 4.310819215530632e-08, 0.9999995378246723
GCA_003037435.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
GCA_002852415.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1359, 1.3426961359532098e-07, 4.444368819913295e-09, 2.736247412333135e-09, 2.8001414329130985e-07, 4.3262714855895813e-08, 0.999999535272912
GCA_016458365.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1357, 1.336066392161266e-07, 4.436245186251396e-09, 2.732268885814965e-09, 2.7827792667631305e-07, 4.310763223185023e-08, 0.9999995378392879
GCA_033550085.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
GCA_003262725.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1424, 1.3427620904648267e-07, 4.444402007229095e-09, 2.7362609128079965e-09, 2.800358643407291e-07, 4.326384082686559e-08, 0.9999995352434228
GCA_033110225.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1422, 1.3493919999179064e-07, 4.452523979267956e-09, 2.740238502242243e-09, 2.817721543703392e-07, 4.3418921460733465e-08, 0.9999995326769616
NODE_1420, 1.3494247301788615e-07, 4.4525404941750175e-09, 2.7402452203566093e-09, 2.817829127070457e-07, 4.3419481295096436e-08, 0.9999995326623473
NODE_1419, 1.3493587790133624e-07, 4.452507332598212e-09, 2.7402317334174436e-09, 2.8176119320588575e-07, 4.3418355428602406e-08, 0.9999995326918344
NODE_1415, 1.3360991249603593e-07, 4.4362617266849606e-09, 2.7322756173699022e-09, 2.782886861434072e-07, 4.3108192162918945e-08, 0.9999995378246718
GCA_021312515.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
GCA_003262615.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1414, 1.3426961367604097e-07, 4.4443688200692695e-09, 2.73624741239708e-09, 2.8001414370921383e-07, 4.326271486353562e-08, 0.9999995352729115
GCA_002852365.2, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1402, 1.3360663921652423e-07, 4.4362451862521395e-09, 2.732268885815293e-09, 2.782779266788849e-07, 4.3107632231879173e-08, 0.9999995378392877
GCA_022559105.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
GCA_004310745.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1418, 1.3427620880390978e-07, 4.4444020067553854e-09, 2.7362609126140553e-09, 2.8003586308451307e-07, 4.3263840803865705e-08, 0.9999995352434243
GCA_003262485.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1413, 1.3493586149299828e-07, 4.452507289596451e-09, 2.740231716924848e-09, 2.8176112530847014e-07, 4.341835336266232e-08, 0.999999532691921
NODE_1385, 1.3360991241531319e-07, 4.43626172652859e-09, 2.7322756173057424e-09, 2.7828868572548714e-07, 4.310819215527812e-08, 0.9999995378246724
GCA_003262575.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
GCA_003037995.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1386, 1.3493257197865333e-07, 4.452490728476742e-09, 2.7402249808916438e-09, 2.817502986941406e-07, 4.3417791439908846e-08, 0.9999995327066221
NODE_1383, 1.3360989624690223e-07, 4.436261683794705e-09, 2.7322756009061005e-09, 2.782886190707354e-07, 4.310819011134002e-08, 0.9999995378247573
GCA_046254915.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
GCA_046196575.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1384, 1.3360989624690223e-07, 4.436261683794705e-09, 2.7322756009061005e-09, 2.782886190707354e-07, 4.310819011134002e-08, 0.9999995378247573
GCA_046196535.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
GCA_033155075.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1421, 1.3427290327677778e-07, 4.444385393775818e-09, 2.7362541550693024e-09, 2.8002497068037e-07, 4.326327683046996e-08, 0.9999995352582097
GCA_003036805.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1417, 1.3426961367449376e-07, 4.4443688228994225e-09, 2.7362474136493478e-09, 2.8001414367065673e-07, 4.326271487743292e-08, 0.9999995352729115
GCA_003262105.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1416, 1.3426959742581378e-07, 4.444368780070563e-09, 2.736247397218466e-09, 2.8001407660016286e-07, 4.326271282606026e-08, 0.9999995352729971
GCA_003261895.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1412, 1.3426959734548281e-07, 4.4443687799151465e-09, 2.7362473971547753e-09, 2.8001407618477197e-07, 4.326271281844756e-08, 0.9999995352729975
GCA_003261655.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1411, 1.3426959734508516e-07, 4.444368779914405e-09, 2.7362473971544486e-09, 2.800140761821997e-07, 4.3262712818418635e-08, 0.9999995352729976
GCA_003036965.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1410, 1.342695973450832e-07, 4.444368779914402e-09, 2.7362473971544465e-09, 2.8001407618218376e-07, 4.326271281841852e-08, 0.9999995352729976
GCA_003262795.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1409, 1.342695973450832e-07, 4.444368779914402e-09, 2.7362473971544465e-09, 2.8001407618218365e-07, 4.326271281841852e-08, 0.9999995352729976
GCA_003262505.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1408, 1.3426959734508103e-07, 4.444368779914394e-09, 2.7362473971544416e-09, 2.8001407618216777e-07, 4.3262712818418364e-08, 0.9999995352729976
GCA_003037125.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1407, 1.3426959734468748e-07, 4.444368779913658e-09, 2.73624739715412e-09, 2.8001407617962746e-07, 4.3262712818389684e-08, 0.9999995352729973
GCA_003261785.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1406, 1.3426959726515378e-07, 4.444368779759721e-09, 2.7362473970910857e-09, 2.8001407576939845e-07, 4.3262712810834825e-08, 0.999999535272998
GCA_022559085.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
